ID,native_lang,other_langs,music_history
0A,日本語,English,5-9 years ( 2-9 年)
1A,日本語,"日本語, English",10+ years ( 10年以上)
0B,日本語,"日本語, English",No experience (無し)
1B,日本語,English,No experience (無し)
3A,日本語,English,10+ years ( 10年以上)
2A,日本語,English,5-9 years ( 2-9 年)
3B,日本語,日本語,10+ years ( 10年以上)
4A,日本語,English,10+ years ( 10年以上)
2B,日本語,"日本語, English",2-5 years ( 2-5 年)
5A,日本語,"日本語, English",10+ years ( 10年以上)
4B,日本語,日本語,10+ years ( 10年以上)
2D,日本語,"English, 普通话中文",10+ years ( 10年以上)
2C,日本語,"日本語, English",10+ years ( 10年以上)
5B,日本語,English,10+ years ( 10年以上)
5C,日本語,English,10+ years ( 10年以上)
5D,日本語,"日本語, English",10+ years ( 10年以上)
3C,日本語,"日本語, English",10+ years ( 10年以上)
4C,日本語,"日本語, English",10+ years ( 10年以上)
1C,日本語,"日本語, English, Russian",10+ years ( 10年以上)
3D,日本語,"日本語, English",10+ years ( 10年以上)
4D,日本語,"日本語, English",10+ years ( 10年以上)
1D,日本語,English,10+ years ( 10年以上)
1E,日本語,English,10+ years ( 10年以上)
0F,日本語,日本語,5-9 years ( 2-9 年)
0G,日本語,"日本語, English",No experience (無し)
0E,日本語,"日本語, English",5-9 years ( 2-9 年)
2E,日本語,"日本語, English",10+ years ( 10年以上)
1F,日本語,English,10+ years ( 10年以上)
1G,日本語,"日本語, English",10+ years ( 10年以上)
2G,Español,"日本語, English, Español",No experience (無し)
3G,日本語,English,No experience (無し)
2F,日本語,English,5-9 years ( 2-9 年)
3F,日本語,English,No experience (無し)
4E,普通话中文,"日本語, English, 普通话中文",10+ years ( 10年以上)
5F,日本語,,10+ years ( 10年以上)
4G,日本語,"日本語, English",No experience (無し)
4H,日本語,English,No experience (無し)
5E,日本語,"日本語, English",~ 2 years ( ~ 2 年 )
0J,日本語,"日本語, English",5-9 years ( 2-9 年)
0H,日本語,English,No experience (無し)
1H,日本語,English,10+ years ( 10年以上)
1J,日本語,English,No experience (無し)
1I,日本語,"日本語, English",10+ years ( 10年以上)
0I,日本語,"日本語, English",No experience (無し)
2H,日本語,"日本語, English",No experience (無し)
2I,日本語,日本語,2-5 years ( 2-5 年)
2J,日本語,English,10+ years ( 10年以上)
4I,日本語,English,10+ years ( 10年以上)
3I,日本語,日本語,10+ years ( 10年以上)
3J,日本語,日本語,10+ years ( 10年以上)
3H,日本語,English,2-5 years ( 2-5 年)
4J,日本語,日本語,5-9 years ( 2-9 年)
5J,日本語,English,10+ years ( 10年以上)
5H,日本語,日本語,10+ years ( 10年以上)
5I,日本語,"日本語, English",10+ years ( 10年以上)
2K,English,"日本語, English, Deutsche",10+ years ( 10年以上)
1K,日本語,日本語,2-5 years ( 2-5 年)
3K,日本語,English,2-5 years ( 2-5 年)
0K,日本語,"日本語, English",10+ years ( 10年以上)
5K,日本語,English,~ 2 years ( ~ 2 年 )
4K,日本語,English,10+ years ( 10年以上)
